symbol,datetime,bar_index,period,close,ref_high,future_ret_6,future_ret_12,future_ret_24
BTC,2022-09-12 08:00:00,8097,2022,22312.75,22374.0,0.009367201538458384,-0.09822149584885674,-0.11605692654946156
BTC,2022-09-12 12:00:00,8098,2022,22114.5,22472.68,-0.05985028853060987,-0.09160144920486706,-0.11758431701792195
SOL,2022-09-12 12:00:00,4574,2022,37.14,38.15,-0.06709068916857713,-0.10225399544642255,-0.14055654986068916
BTC,2022-09-13 04:00:00,8102,2022,22273.09,22488.0,-0.0955262036997157,-0.09748723490264177,-0.1155737842775261
SOL,2022-09-13 04:00:00,4578,2022,38.54,38.92,-0.15005081002725923,-0.10495697603340674,-0.15974491805560068
BTC,2022-09-13 08:00:00,8103,2022,22522.74,22627.0,-0.10758869738731511,-0.11140306631355636,-0.12832749934627358
BTC,2022-09-13 12:00:00,8104,2022,20829.77,22713.92,-0.0317511606742572,-0.05386992698552962,-0.04248562189146472
SOL,2022-09-24 08:00:00,4645,2022,34.48,34.49,-0.024663610690744936,-0.05790934400460054,-0.05944709611448328
SOL,2022-09-27 00:00:00,4661,2022,34.73,34.79,-0.07129901260702169,-0.028919789638160307,-0.04867499660049203
BTC,2022-09-27 04:00:00,8186,2022,20183.74,20300.0,-0.07200605184876441,-0.04168322736810369,-0.0442625192216527
ETH,2022-09-27 04:00:00,8186,2022,1382.33,1389.77,-0.07259939653713655,-0.04462473978201081,-0.0394866763358787
SOL,2022-09-27 04:00:00,4662,2022,34.52,34.97,-0.06585263256233263,-0.03418128872468135,-0.044728320350125736
ETH,2022-09-27 08:00:00,8187,2022,1388.81,1394.56,-0.06969721661532823,-0.03834811639146916,-0.046717875016498954
BTC,2022-09-27 12:00:00,8188,2022,19887.73,20350.0,-0.0203148430430985,-0.030575749891490405,-0.028395520233308977
ETH,2022-09-27 12:00:00,8188,2022,1365.18,1399.06,-0.024769894763189217,-0.028516259984193135,-0.031664109478885746
SOL,2022-09-27 12:00:00,4664,2022,34.37,35.04,-0.0370467613446836,-0.007593494431188051,-0.040979605621252316
BTC,2022-10-04 08:00:00,8229,2022,19939.0,19975.43,0.004425221082156293,0.015241103481029352,-0.020510325370931573
ETH,2022-10-04 08:00:00,8229,2022,1349.74,1350.2,-0.010943236975030121,0.01398593327326322,-0.014883426323193066
SOL,2022-10-04 08:00:00,4705,2022,33.67,33.79,-0.0044649575591008345,0.013862484193311476,-0.021312528131712177
BTC,2022-10-04 12:00:00,8230,2022,20099.7,20152.0,-0.004887619638815528,-0.0044727409848692315,-0.030912155707450952
ETH,2022-10-04 12:00:00,8230,2022,1353.93,1359.67,-0.017569408974621437,0.0054874166812362585,-0.02211990540168077
BTC,2022-10-04 16:00:00,8231,2022,20220.09,20270.0,-0.004988661684721974,-0.010413531997617017,-0.037903031660631546
ETH,2022-10-04 20:00:00,8232,2022,1361.49,1364.31,-0.0068467925900135215,-0.006950332930162212,-0.034378070226551566
SOL,2022-10-04 20:00:00,4708,2022,34.09,34.39,-0.0014677824446384827,-0.02164650865926589,-0.0453054829759128
BTC,2022-10-13 16:00:00,8285,2022,19369.94,19441.99,-0.010470767300507508,-0.01392043867592915,0.008067549601284077
ETH,2022-10-14 12:00:00,8290,2022,1310.04,1342.0,-0.01845883881934214,-0.018248920570066985,-0.001856627660711619
