symbol,datetime,bar_index,period,close,ref_low,future_ret_6,future_ret_12,future_ret_24
ETH,2024-03-14 12:00:00,11392,2023-2024,3845.81,3828.98,-0.041655933340311015,-0.04419378187517491,-0.08705274517988497
BTC,2024-03-14 16:00:00,11393,2023-2024,69415.09,68620.82,-0.006519649722057438,-0.03673312941631725,-0.03636734004236465
BTC,2024-03-15 08:00:00,11397,2023-2024,67757.76,66699.0,0.007326496850059563,-0.01191092167724155,-0.07151398721072362
ETH,2024-03-15 08:00:00,11397,2023-2024,3689.33,3623.0,0.0008019920176476534,-0.030364232047132313,-0.11866603822056795
BTC,2024-03-17 04:00:00,11408,2023-2024,65636.67,64780.0,0.038579496333105215,-0.014308110182452368,0.020337016507259196
ETH,2024-03-17 04:00:00,11408,2023-2024,3472.72,3468.8,0.04337120858976354,-0.032955508797380205,0.012394363638609547
ETH,2024-03-19 00:00:00,11419,2023-2024,3419.17,3412.0,-0.07850307123689836,0.026386282958091756,-0.03439715668430429
BTC,2024-03-19 04:00:00,11420,2023-2024,64704.22,64533.0,-0.02736096863088866,0.03464512668971144,-0.0019927353230405867
SOL,2024-03-19 08:00:00,7897,2023-2024,177.84,176.78,-0.033041016462739076,0.06155033964442177,-0.011252910735949714
BTC,2024-03-19 12:00:00,11422,2023-2024,64051.85,62505.0,-0.007073623671021858,0.03837738073568653,0.016293847650766326
BTC,2024-03-20 04:00:00,11426,2023-2024,62957.85,61555.0,0.06200609532060029,0.04988277767371602,0.02549242147817086
ETH,2024-03-20 04:00:00,11426,2023-2024,3218.48,3150.88,0.08842331379339143,0.0871056199366247,0.03760038556155955
SOL,2024-03-20 04:00:00,7902,2023-2024,173.36,166.0,0.08399286647626243,0.03246227614466111,0.0010377631372400036
ETH,2024-03-29 16:00:00,11483,2023-2024,3500.34,3460.02,0.0024766895799101696,0.038623449972517904,-0.06577001670254475
BTC,2024-04-01 04:00:00,11498,2023-2024,69594.94,69009.0,-0.04615931281475481,-0.050978786801309454,-0.03903351016915555
BTC,2024-04-01 16:00:00,11501,2023-2024,69648.01,68161.48,-0.05508961228565278,-0.057077480720477795,-0.0326251511312402
ETH,2024-04-01 16:00:00,11501,2023-2024,3486.33,3437.23,-0.061759517057308685,-0.05060618426964985,-0.048854704032500765
SOL,2024-04-02 04:00:00,7980,2023-2024,183.17,181.71,0.034185400669923226,0.009724902111887255,-0.032740689346432525
BTC,2024-04-02 16:00:00,11507,2023-2024,65914.9,64588.58,-0.0019878684348250764,0.03846922916476028,0.034959134377735665
ETH,2024-04-02 16:00:00,11507,2023-2024,3277.53,3232.0,0.011153332787658773,0.02666174344717129,0.021643364495519596
BTC,2024-04-03 00:00:00,11509,2023-2024,66225.79,64550.0,-0.009189284191298474,0.02443559103508675,0.04693289090545338
ETH,2024-04-03 00:00:00,11509,2023-2024,3315.41,3212.0,-0.01245581206117259,-0.002146833943747617,0.021779488584946903
SOL,2024-04-05 12:00:00,8000,2023-2024,175.89,169.11,0.007250923968112693,0.021096048575303887,-0.019635491340924113
SOL,2024-04-09 08:00:00,8023,2023-2024,176.21,173.54,-0.03464349676075752,-0.03282387368362963,-0.15287460881799014
SOL,2024-04-10 08:00:00,8029,2023-2024,170.21,169.11,0.001819623077127914,0.014349289604456972,-0.20371077782629624
BTC,2024-04-10 12:00:00,11554,2023-2024,68657.32,68210.0,0.019367487697434127,0.009999458702198444,-0.06742100504182665
BTC,2024-04-19 00:00:00,11605,2023-2024,61785.14,59678.16,0.03453246444743788,0.05333635786855313,0.07256129409059149
ETH,2024-04-19 00:00:00,11605,2023-2024,2979.8,2914.47,0.025247414876509482,0.060865430144039855,0.06625067628264761
SOL,2024-05-23 12:00:00,8288,2023-2024,172.7,171.8,-0.03182715180944358,-0.028604422832544878,-0.00965853787589784
