symbol,onboard_date,delist_date,source
POWRUSDT,2023-10-27,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
TIAUSDT,2023-10-31,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
CAKEUSDT,2023-11-02,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
SNTUSDT,2023-11-02,2024-05-13,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
MEMEUSDT,2023-11-03,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
TOKENUSDT,2023-11-03,2025-12-05,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
TWTUSDT,2023-11-03,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ORDIUSDT,2023-11-07,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
STEEMUSDT,2023-11-08,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BADGERUSDT,2023-11-09,2025-04-14,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ILVUSDT,2023-11-10,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
NTRNUSDT,2023-11-14,2026-03-24,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BEAMXUSDT,2023-11-17,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
KASUSDT,2023-11-17,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
1000BONKUSDT,2023-11-22,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
PYTHUSDT,2023-11-22,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
SUPERUSDT,2023-11-26,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ONGUSDT,2023-11-27,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
USTCUSDT,2023-11-27,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ETHWUSDT,2023-11-28,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
JTOUSDT,2023-12-08,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
1000SATSUSDT,2023-12-12,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
1000RATSUSDT,2023-12-15,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
AUCTIONUSDT,2023-12-15,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ACEUSDT,2023-12-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
MOVRUSDT,2023-12-26,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
NFPUSDT,2023-12-27,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
AIUSDT,2024-01-08,2026-04-28,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
XAIUSDT,2024-01-09,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
MANTAUSDT,2024-01-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
WIFUSDT,2024-01-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ONDOUSDT,2024-01-20,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ALTUSDT,2024-01-25,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
LSKUSDT,2024-01-25,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
JUPUSDT,2024-01-31,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ZETAUSDT,2024-02-02,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
